#TYPE_ATTK	#TYPE_DEF	#EFFICACITE
1	13	0.5
1	17	0.5
2	2	0.5
2	3	0.5
2	13	0.5
2	15	0.5
3	3	0.5
3	4	0.5
3	15	0.5
4	2	0.5
4	4	0.5
4	8	0.5
4	10	0.5
4	12	0.5
4	15	0.5
4	17	0.5
5	4	0.5
5	5	0.5
5	15	0.5
6	2	0.5
6	3	0.5
6	6	0.5
6	17	0.5
7	8	0.5
7	10	0.5
7	11	0.5
7	12	0.5
8	8	0.5
8	9	0.5
8	13	0.5
8	14	0.5
9	4	0.5
9	12	0.5
10	5	0.5
10	13	0.5
10	17	0.5
11	11	0.5
11	17	0.5
12	2	0.5
12	7	0.5
12	8	0.5
12	10	0.5
12	14	0.5
12	17	0.5
13	7	0.5
13	9	0.5
13	17	0.5
14	16	0.5
14	17	0.5
15	17	0.5
16	7	0.5
16	16	0.5
16	17	0.5
17	2	0.5
17	3	0.5
17	17	0.5
1	14	0.0
5	9	0.0
7	14	0.0
8	17	0.0
9	10	0.0
11	16	0.0
14	1	0.0
2	4	2.0
2	6	2.0
2	12	2.0
2	17	2.0
3	2	2.0
3	9	2.0
3	13	2.0
4	3	2.0
4	9	2.0
4	13	2.0
5	3	2.0
5	10	2.0
6	4	2.0
6	9	2.0
6	10	2.0
6	15	2.0
7	1	2.0
7	6	2.0
7	13	2.0
7	16	2.0
7	17	2.0
8	4	2.0
9	2	2.0
9	5	2.0
9	8	2.0
9	13	2.0
9	17	2.0
10	4	2.0
10	7	2.0
10	12	2.0
11	7	2.0
11	8	2.0
12	4	2.0
12	11	2.0
12	16	2.0
13	2	2.0	
13	6	2.0
13	10	2.0
13	12	2.0
14	11	2.0
14	14	2.0
15	15	2.0
16	11	2.0
16	14	2.0
17	6	2.0
17	13	2.0
