1e-06,17

Rank, ID, Type, Power Iteration, Diagonalization
0,1,Normal,5,0.05717894759604106
4,2,Feu,5,0.05818474703278678
5,3,Eau,5,0.05833461667255791
1,4,Plante,5,0.06597920149819037
14,5,Electrik,5,0.056978345439794034
12,6,Glace,5,0.06604626656132004
13,7,Combat,5,0.058755624519063535
10,8,Poison,5,0.056791137261258014
11,9,Sol,5,0.06031067739690746
2,10,Vol,5,0.058847873646070165
9,11,Psy,5,0.06285768096571241
16,12,Insecte,5,0.06107314535971192
3,13,Roche,5,0.06485339255157163
15,14,Spectre,5,0.053685167550006595
8,15,Dragon,5,0.05715684547811062
7,16,Tenebres,5,0.057046418836165264
6,17,Acier,5,0.04591991163473212
